station_name,station_full_name,station_zone,average_delay,median_delay,total_records
CPBH,CHIRAILLA PAUTHU,ECR,44.993375174337515,39.0,2868
CPD,CHINCHPADA,WR,15.119798811156835,9.0,4374
CPDR,CHHIPADOHAR,ECR,89.31784783123963,75.0,4219
CPE,CHANDIPOSI,SER,87.77401129943503,65.0,531
CPH,CHAMPA,SECR,87.89844676310173,38.0,16868
CPJ,KAPTANGANJ JN,NER,70.90486798679868,26.0,12120
CPK,CHAPARMUKH JN,NFR,40.04703457322215,22.0,10673
CPL,CHAKARLAPALLI,SWR,12.219121140142517,4.0,1684
CPLE,CHINPAI,ER,15.736686390532544,10.0,4394
CPN,CHAMPANER RD JN,WR,10.099781301257519,7.0,3658
CPP,CHIPURUPALLE,ECOR,48.73550724637681,28.0,7728
CPPR,CHAMPAPUR HALT,ECR,26.304043545878695,16.0,2572
CPQ,CHAPRAKATA,NFR,35.172260273972604,29.0,2920
CPR,CHHAPRA,NER,58.75758045513735,11.0,32254
CPS,CHAND SIAU,NR,28.38295517432208,18.0,3614
CPSN,CH SAMBHAJI NAGAR,SCR,32.32650706662821,15.0,3467
CPT,CHANNAPATNA,SWR,17.528485561217824,12.0,15306
CPU,CHOPAN,ECR,45.194521690767516,6.0,7192
CQA,CHERUKARA,SR,5.151934916446789,0.0,4548
CQL,CHIRAKKAL H,SR,4.791551882460974,0.0,1089
CQS,CAPPER QUARRY,SR,11.964824120603016,9.0,2189
CRC,CHARKHARI ROAD,NCR,58.457549334557136,42.0,2179
CRDA,CHAKARDAHA HALT,ECR,45.34910836762688,15.0,1458
CRE,CHORGHATPIPARIA,SECR,45.3968253968254,32.0,2898
CRG,CHURAMAN NAGRI,WCR,14.922374429223744,6.0,2190
CRJ,CHITTARANJAN,ER,55.64073908508419,31.0,20133
CRK,CHARKHERA,WCR,66.57290233837689,55.0,1454
CRKR,CHAURAKHERI,WCR,12.554794520547945,9.0,1460
CRLM,KARAMELARAM,SWR,33.325047521567484,24.0,6839
CRN,CHAREGAON,SECR,56.34075104311544,48.0,1438
CROA,CHAUTARA,NFR,29.56225296442688,20.0,1012
CRP,CHANDRAPURA,ECR,36.925479887516815,12.0,16358
CRQ,CHARPOKHARI H,ECR,24.63752983293556,17.0,3352
CRR,KARAGOLA ROAD,ECR,49.61218092252575,19.0,6699
CRU,CHUDAWA,SCR,34.19169535283993,26.0,4648
CRV,CHUREB,NER,92.23126873126873,72.0,2002
